Intencity / Wave,System Arc,System Radius,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,# Asteroids,Target Remaining DC,SUM OF SHIPS,% wave toughness increase (Not used in the game),%3 star increase (Not used in the game),2 Star Score,3 Star Score,Alloy 1 Star,Alloy 2 Star,Alloy 3 Star,1 Star Bonus,2 Star Bonus,3 Star Bonus,Flying Saucer % per wave,Seed,Environment Seed,Galaxy Name,System Name,Galaxy Map X,Galaxy Map Y,Galaxy Map Image,Midground Objects,BG Image,Fog Image,System Warning 1,System Warning 2,System Warning 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,85%,100%,,110%,120%,,110%,125%,,,,,,,,,,,,,,
Galaxy 1 Level 1,32,320,10,10,10,20,20,30,40,150,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.5,687.3,,,771,908,20,22,24,1,1.10,1.25,0.00%,9266718,1664717,Milky Way Galaxy,Sol System,0,0,u,No,galaxy01BG05.png,,,,
Galaxy 1 Level 2,15,320,10,10,20,10,30,10,30,10,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.5,142.5,-79.27%,-60.35%,306,360,35,39,42,1,1.10,1.25,0.00%,1000374,6543210,Sagan's Galaxy,Aljernon System,225,225,b,Yes,,,Be prepared for bugs!,They can swarm you ,from anywhere!
Galaxy 1 Level 3,16,320,30,10,10,30,20,10,30,20,10,10,20,30,10,20,30,0,0,0,0,0,0,0,0,0,0,0,237.5,252.3,77.05%,36.11%,416,490,38,42,46,1,1.10,1.25,0.00%,2871535,3982120,Sagan's Galaxy,Davion System,140,360,c,Yes,galaxy01BG03.png,,,,
Galaxy 1 Level 4,17,640,40,40,30,40,10,40,20,10,60,10,20,30,30,40,50,0,0,0,0,0,0,0,0,0,0,0,72.5,394.8,56.48%,-4.69%,397,467,41,45,49,1,1.10,1.25,0.00%,3297444,3297444,Sagan's Galaxy,Dunkelzahn System,325,310,d,No,galaxy01BG02.png,,,,
Galaxy 1 Level 5,18,640,40,20,20,30,10,40,20,10,30,40,50,60,80,80,40,10,30,10,20,30,0,0,0,0,0,0,97.5,569.5,44.25%,42.83%,567,667,45,50,54,1,1.10,1.25,0.00%,4859966,4858866,Sagan's Galaxy,Tyrion System,650,450,e,Yes,galaxy01BG04.png,,Scanners non-operational.,No data on this system.,Advise caution.
Galaxy 1 Level 6,30,640,40,10,30,40,10,50,40,10,60,10,30,40,10,40,60,40,30,40,50,40,0,0,0,0,0,4,267.5,591.6,3.88%,28.79%,730,859,53,58,64,1,1.10,1.25,0.00%,1966091,1966091,Sagan's Galaxy,Baltar System,440,-175,f,Yes,,,Asteroids containing warp crystals.,Mine them to warp in,reinforcements.
Galaxy 1 Level 7,19,640,40,10,30,40,10,40,40,10,50,10,30,40,10,40,60,40,30,40,60,40,0,0,0,0,0,6,395,582.9,-1.47%,13.85%,831,978,56,62,67,1,1.10,1.25,0.00%,2133822,2133822,Sagan's Galaxy,T'Challa System ,210,-250,g,Yes,galaxy01BG03.png,,Scanners are showing bug bombers in,the area. Swarm them with fighters.,
Galaxy 1 Level 8,0,640,10,20,30,40,10,20,40,20,30,40,10,20,40,40,40,20,10,40,30,40,50,60,20,20,50,4,420,652.5,11.94%,9.71%,912,1073,57,63,68,1,1.10,1.25,0.00%,2623881,2623881,Sagan's Galaxy,Ripley System,275,-400,h,Yes,,,,,
Galaxy 1 Level 9,31,640,10,20,30,20,50,10,30,40,50,10,20,30,40,70,10,20,40,50,70,30,10,20,40,70,90,5,445,765.6,17.33%,12.86%,1029,1211,58,64,70,1,1.10,1.25,0.00%,1818982,1818982,Sagan's Galaxy, Plissken System,375,-300,i,No,galaxy01BG02.png,,,,
Galaxy 1 Level 10,31,640,12,24,36,24,60,12,36,48,60,12,24,36,48,84,12,24,48,60,84,36,12,24,48,84,108,3,455,918.72,20.00%,13.46%,1168,1374,59,65,71,1,1.10,1.25,20.00%,4326871,4326871,Sagan's Galaxy,Baratheon System,800,-485,j,Yes,galaxy01BG04.png,,Alien saucers appearing on our scanners!,,
Galaxy 1 Level 11,7,640,10,20,30,40,50,30,30,10,60,10,20,40,50,20,30,40,60,20,30,20,60,30,30,20,80,3,465,730.8,-20.45%,-12.95%,1016,1196,60,66,72,1,1.10,1.25,15.00%,3689242,3689242,Sagan's Galaxy,Elessar System,850,-375,k,Yes,galaxy01BG03.png,,,,
Galaxy 1 Level 12,20,640,10,20,30,40,50,10,30,10,60,10,30,30,50,20,40,20,80,20,30,20,90,30,40,30,100,4,475,783,7.14%,5.18%,1069,1258,61,67,73,1,1.10,1.25,10.00%,3217517,3217517,Sagan's Galaxy,Morpheus System,1375,-125,l,No,galaxy01BG05.png,,Our scanners are picking up something,huge and it seems to be moving.,Queen?
Galaxy 1 Level 13,20,640,12,24,36,48,60,12,36,12,72,12,36,36,60,24,48,24,96,24,36,24,108,36,48,36,120,6,485,939.6,20.00%,13.28%,1211,1425,62,68,74,1,1.10,1.25,9.50%,2301670,2301670,Sagan's Galaxy,Drogo System,1445,-15,m,Yes,galaxy01BG02.png,,,,
Galaxy 1 Level 14,22,640,40,20,20,40,30,10,30,30,40,60,40,30,10,30,70,40,30,100,40,10,40,30,30,100,50,3,495,843.9,-10.19%,-6.04%,1138,1339,63,69,76,1,1.10,1.25,9.00%,1371870,1371870,Sagan's Galaxy,Locutus System,1245,50,n,Yes,galaxy01BG03.png,,,,
Galaxy 1 Level 15,33,640,20,20,20,40,30,10,30,30,40,100,40,30,10,30,70,40,30,10,40,100,40,30,30,100,50,5,505,861.3,2.06%,2.02%,1161,1366,64,70,77,1,1.10,1.25,8.50%,4750673,4750673,Sagan's Galaxy,Zira System,1150,-75,o,Yes,,,,,
Galaxy 1 Level 16,12,640,40,20,30,40,120,20,30,20,100,20,30,20,120,20,30,20,100,20,30,20,70,20,30,20,90,6,515,939.6,9.09%,6.52%,1236,1455,65,72,78,1,1.10,1.25,8.00%,2901277,2901277,Sagan's Galaxy,Zyrtek System,985,50,p,Yes,galaxy01BG04.png,,Long range sensors detecting,construction ships in system.,Be careful!
Galaxy 1 Level 17,12,640,48,24,36,48,144,24,36,24,120,24,36,24,144,24,36,24,120,24,36,24,84,24,36,24,108,6,525,1127.52,20.00%,13.61%,1405,1653,66,73,79,1,1.10,1.25,7.50%,2550324,2550324,Sagan's Galaxy,Similac System,1075,385,q,Yes,galaxy01BG02.png,,,,
Galaxy 1 Level 18,13,640,40,20,30,30,100,30,40,30,180,20,40,20,100,20,40,20,180,20,40,20,100,20,40,20,100,4,535,1131,0.31%,0.79%,1416,1666,67,74,80,1,1.10,1.25,7.00%,1343286,1343286,Sagan's Galaxy,Whedon System,1250,450,r,No,galaxy01BG05.png,,,,
Galaxy 1 Level 19,13,640,48,24,36,36,120,36,48,36,216,24,48,24,120,24,48,24,216,24,48,24,120,24,48,24,120,4,545,1357.2,20.00%,14.17%,1617,1902,68,75,82,1,1.10,1.25,6.50%,1602237,1602237,Sagan's Galaxy,Akira System,1150,550,s,Yes,,,,,
Galaxy 1 Level 20,14,640,10,20,30,40,100,20,40,20,100,20,40,20,220,20,40,20,100,20,40,20,80,20,30,20,100,3,555,1035.3,-23.72%,-16.40%,1352,1590,69,76,83,1,1.10,1.25,6.00%,2629198,2629198,Sagan's Galaxy,Ramirez System,1350,625,t,Yes,galaxy01BG03.png,,Enemy resistance increasing.  ,Sensors indicate bugs adding,reinforcements.
Galaxy 1 Level 21,14,640,12,24,36,48,120,24,48,24,120,24,48,24,264,24,48,24,120,24,48,24,96,24,36,24,120,5,565,1242.36,20.00%,13.65%,1536,1807,70,77,84,1,1.10,1.25,5.50%,4624284,4624284,Sagan's Galaxy,Istari System,1475,400,f,Yes,galaxy01BG02.png,,,,
Galaxy 1 Level 22,20,640,17,34,51,68,85,17,51,17,102,17,51,51,85,34,68,34,136,34,51,34,153,51,68,51,170,4,575,1331.1,7.14%,5.48%,1620,1906,71,78,85,1,1.10,1.25,5.00%,2945432,2945432,Sagan's Galaxy,Saldana System,1800,575,k,Yes,galaxy01BG04.png,,,,
Galaxy 1 Level 23,5,640,60,24,120,60,24,144,12,12,36,48,120,48,24,144,24,36,48,72,48,24,36,48,84,120,72,2,585,1294.56,-2.75%,-1.36%,1598,1880,72,79,86,1,1.10,1.25,4.50%,2151747,2151747,Sagan's Galaxy,Deckard System,1875,450,b,Yes,,,,,
Galaxy 1 Level 24,3,640,60,40,20,30,40,40,10,20,40,80,50,20,20,30,50,100,30,20,30,40,100,30,50,130,40,4,595,974.4,-24.73%,-16.54%,1334,1569,73,80,88,1,1.10,1.25,4.00%,1054278,1054278,Sagan's Galaxy,Escher System,2215,425,o,Yes,galaxy01BG02.png,,,,
Galaxy 1 Level 25,4,640,68,34,34,68,51,17,51,51,68,170,68,51,17,51,119,68,51,17,68,170,68,51,51,170,85,3,605,1493.79,53.30%,33.78%,1784,2099,74,81,89,1,1.10,1.25,3.90%,4061963,4061963,Sagan's Galaxy,Koothrappali System,2375,500,c,No,galaxy01BG05.png,,,,
Galaxy 1 Level 26,1,640,20,40,60,100,20,40,60,100,100,20,40,60,80,140,20,40,80,100,160,80,20,40,80,140,180,5,615,1583.4,6.00%,4.72%,1869,2198,75,83,90,1,1.10,1.25,3.80%,3485231,3485231,Sagan's Galaxy,Aquilonia System,2450,350,j,Yes,galaxy01BG04.png,,A sub-space anomaly won't let us drop, Repair Buoys. You are on,"your own, Admiral."
Galaxy 1 Level 27,7,640,20,40,60,80,100,60,60,20,120,20,40,80,100,40,60,80,120,40,60,40,120,60,60,40,160,2,625,1461.6,-7.69%,-5.05%,1774,2087,76,84,91,1,1.10,1.25,3.70%,1738913,1738913,Sagan's Galaxy,Steiner System,2250,300,i,Yes,,,We are still encountering interference.,Still no Repair Buoys incoming.,
Galaxy 1 Level 28,5,640,85,34,170,85,34,204,17,17,51,68,170,68,34,204,34,51,68,102,68,34,51,68,119,170,102,4,635,1833.96,25.48%,18.30%,2099,2469,77,85,92,1,1.10,1.25,3.60%,3767708,3767708,Sagan's Galaxy,Bowman System,2350,200,p,Yes,galaxy01BG03.png,,,,
Galaxy 1 Level 29,12,640,56,34,51,68,204,34,51,34,170,34,51,34,204,34,51,34,170,34,51,34,119,34,51,34,153,4,645,1586.88,-13.47%,-9.60%,1897,2232,78,86,94,1,1.10,1.25,3.50%,2145765,2145765,Sagan's Galaxy,Leeloo System,2150,200,h,Yes,,,,,
Galaxy 1 Level 30,6,640,120,68,85,51,17,34,68,204,51,85,17,204,34,85,119,34,17,17,51,68,153,34,34,170,85,5,655,1657.35,4.44%,3.58%,1965,2312,79,87,95,1,1.10,1.25,3.40%,1803178,1803178,Sagan's Galaxy,Lankhmar System,1950,-150,d,Yes,galaxy01BG02.png,,,,
Galaxy 1 Level 31,14,640,14,34,51,68,170,34,68,34,170,34,68,34,374,34,68,34,170,34,68,34,136,34,51,34,170,6,665,1757.4,6.04%,4.76%,2059,2422,80,88,96,1,1.10,1.25,3.30%,1308585,1308585,Sagan's Galaxy,Elric System,2075,-265,q,No,galaxy01BG04.png,,,,
Galaxy 1 Level 32,20,640,20,34,51,68,85,17,51,17,102,17,51,51,85,34,68,34,136,34,51,34,153,51,68,51,170,3,675,1333.71,-24.11%,-17.05%,1707,2009,81,89,97,1,1.10,1.25,3.20%,4761131,4761131,Sagan's Galaxy,Blackheart System,1875,-300,k,Yes,,,,,
Galaxy 1 Level 33,13,640,56,34,51,51,170,51,68,51,306,34,68,34,170,34,68,34,306,34,68,34,170,34,68,34,170,5,685,1912.26,43.38%,29.27%,2208,2597,82,90,98,1,1.10,1.25,3.10%,4568578,4568578,Sagan's Galaxy,Tolkien V System,1925,-450,e,Yes,galaxy01BG04.png,,,,
Galaxy 1 Level 34,3,640,120,68,34,51,68,68,17,34,68,136,85,34,34,51,85,170,51,34,51,68,170,51,85,221,68,2,695,1672.14,-12.56%,-8.86%,2012,2367,83,91,100,1,1.10,1.25,3.00%,3657741,3657741,Sagan's Galaxy,IG-88 System,2125,-475,o,Yes,galaxy01BG02.png,,,,
Galaxy 1 Level 35,5,640,120,34,170,85,34,204,17,17,51,68,170,68,34,204,34,51,68,102,68,34,51,68,119,170,102,4,705,1864.41,11.50%,8.53%,2184,2569,84,92,101,1,1.10,1.25,2.90%,2405929,2405929,Sagan's Galaxy,Zelazney System,2325,-450,c,Yes,galaxy01BG03.png,,,,
Galaxy 1 Level 36,4,640,96,34,34,68,51,17,51,51,68,170,68,51,17,51,119,68,51,17,68,170,68,51,51,170,85,6,715,1518.15,-18.57%,-13.08%,1898,2233,85,94,102,1,1.10,1.25,2.80%,1104970,1104970,Sagan's Galaxy,Muad'dib System,2250,-300,t,Yes,,,,,
Galaxy 1 Level 37,1,640,24,34,51,85,17,34,51,85,85,17,34,51,68,119,17,34,68,85,136,68,17,34,68,119,153,1,295,1351.98,-10.95%,-26.24%,1400,1647,86,95,103,1,1.10,1.25,2.70%,4085714,4085714,Sagan's Galaxy,LeGuin System,2500,-37,f,Yes,galaxy01BG02.png,,Warning! This system only has one ,asteroid. Plan your warp-ins,carefully.
Galaxy 1 Level 38,6,640,200,68,85,51,17,34,68,204,51,85,17,204,34,85,119,34,17,17,51,68,153,34,34,170,85,3,715,1726.95,27.73%,48.27%,2076,2442,87,96,104,1,1.10,1.25,2.60%,3605051,3605051,Sagan's Galaxy,Jordanium System,2700,-75,a,Yes,galaxy01BG03.png,,,,
Galaxy 1 Level 39,12,640,80,34,51,68,204,34,51,34,170,34,51,34,204,34,51,34,170,34,51,34,119,34,51,34,153,2,715,1607.76,-6.90%,-4.87%,1974,2323,88,97,106,1,1.10,1.25,2.50%,2673091,2673091,Sagan's Galaxy,Lo Pan System,2700,75,l,No,galaxy01BG05.png,,The bugs seem desperate.,We must be getting close to the ,Hive Queen.
Galaxy 1 Level 40,2,320,50,204,34,68,85,170,51,17,221,68,102,68,17,68,85,170,34,51,357,51,85,102,221,51,119,1,295,2217.63,37.93%,8.18%,2136,2513,89,98,107,1,1.10,1.25,2.40%,4152278,4152278,Sagan's Galaxy,Unknown Space,2900,0,u,No,galaxy01BGend.png,,Last known location of the Hive Queen.,"Hit her hard, Admiral!",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy 2 Level 1,5,640,250,20,100,50,20,120,10,10,30,40,100,40,20,120,20,30,40,60,40,20,30,40,70,100,60,,295,1296,,-36.69%,1352,1591,91,100,109,1,1.10,1.25,0.00%,1664717,1664717,Kepler's Galaxy,DeLarge System,0,0,s,Yes,,,,,
Galaxy 2 Level 2,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,4.53%,1414,1663,93,102,112,1,1.10,1.25,20.00%,1000374,1000374,Kepler's Galaxy,Romita System,150,50,b,Yes,,,,,
Galaxy 2 Level 3,0,640,10,20,30,40,10,20,40,20,30,40,10,20,40,40,40,20,10,40,30,40,50,60,20,20,50,,295,675,,-41.67%,825,970,95,105,114,1,1.10,1.25,15.00%,2871535,2871535,Kepler's Galaxy,Sinistar System,200,-160,c,Yes,,,,,
Galaxy 2 Level 4,1,640,10,20,30,50,10,20,30,50,50,10,20,30,40,70,10,20,40,50,80,40,10,20,40,70,90,,295,819,,14.85%,947,1114,97,107,116,1,1.10,1.25,10.00%,3297444,3297444,Kepler's Galaxy,Ming System,350,190,d,Yes,,,,,
Galaxy 2 Level 5,3,640,60,40,20,30,40,40,10,20,40,80,50,20,20,30,50,100,30,20,30,40,100,30,50,130,40,,295,1008,,16.97%,1108,1303,99,109,119,1,1.10,1.25,9.50%,4859966,4859966,Kepler's Galaxy,Muad'dib System,475,-50,e,Yes,,,,,
Galaxy 2 Level 6,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,27.63%,1414,1663,101,111,121,1,1.10,1.25,9.00%,1966091,1966091,Kepler's Galaxy,Wolowitz System,700,0,f,Yes,,,,,
Galaxy 2 Level 7,0,640,10,20,30,40,10,20,40,20,30,40,10,20,40,40,40,20,10,40,30,40,50,60,20,20,50,,295,675,,-41.67%,825,970,103,113,124,1,1.10,1.25,8.50%,2133822,2133822,Kepler's Galaxy,Eisen System,880,-210,g,Yes,,,,,
Galaxy 2 Level 8,1,640,10,20,30,50,10,20,30,50,50,10,20,30,40,70,10,20,40,50,80,40,10,20,40,70,90,,295,819,,14.85%,947,1114,105,116,126,1,1.10,1.25,8.00%,2623881,2623881,Kepler's Galaxy,Gasca System,1050,-155,h,Yes,,,,,
Galaxy 2 Level 9,3,640,60,40,20,30,40,40,10,20,40,80,50,20,20,30,50,100,30,20,30,40,100,30,50,130,40,,295,1008,,16.97%,1108,1303,106,117,127,1,1.10,1.25,7.50%,1818982,1818982,Kepler's Galaxy,Ferrigno System,1200,-120,i,Yes,,,,,
Galaxy 2 Level 10,2,640,60,144,24,48,60,120,36,12,156,48,72,48,12,48,60,120,24,36,252,36,60,72,156,36,84,,295,1641.6,,48.66%,1646,1937,107,118,128,1,1.10,1.25,7.00%,4326871,4326871,Kepler's Galaxy,Adama System,1400,-110,j,Yes,,,,,
Galaxy 2 Level 11,0,640,10,20,30,40,10,20,40,20,30,40,10,20,40,40,40,20,10,40,30,40,50,60,20,20,50,,295,675,,-49.92%,825,970,108,119,130,1,1.10,1.25,6.50%,3689242,3689242,Kepler's Galaxy,Twiki System,1500,200,k,Yes,,,,,
Galaxy 2 Level 12,1,640,10,20,30,50,10,20,30,50,50,10,20,30,40,70,10,20,40,50,80,40,10,20,40,70,90,,295,819,,14.85%,947,1114,109,120,131,1,1.10,1.25,6.00%,3217517,3217517,Kepler's Galaxy,Goldman System,1650,-40,l,Yes,,,,,
Galaxy 2 Level 13,3,640,72,48,24,36,48,48,12,24,48,96,60,24,24,36,60,120,36,24,36,48,120,36,60,156,48,,295,1209.6,,35.10%,1279,1505,110,121,132,1,1.10,1.25,5.50%,2301670,2301670,Kepler's Galaxy,Nobumoto System,1725,150,m,Yes,,,,,
Galaxy 2 Level 14,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,10.50%,1414,1663,111,122,133,1,1.10,1.25,5.00%,1371870,1371870,Kepler's Galaxy,Crichton System,1900,0,n,Yes,,,,,
Galaxy 2 Level 15,3,640,60,40,20,30,40,40,10,20,40,80,50,20,20,30,50,100,30,20,30,40,100,30,50,130,40,,295,1008,,-21.65%,1108,1303,112,123,134,1,1.10,1.25,4.50%,4750673,4750673,Kepler's Galaxy,Harkness System,1950,-200,o,Yes,,,,,
Galaxy 2 Level 16,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,27.63%,1414,1663,113,124,136,1,1.10,1.25,4.00%,2901277,2901277,Kepler's Galaxy,Westeros System,2030,-75,p,Yes,,,,,
Galaxy 2 Level 17,0,640,12,24,36,48,12,24,48,24,36,48,12,24,48,48,48,24,12,48,36,48,60,72,24,24,60,,295,810,,-33.55%,939,1105,114,125,137,1,1.10,1.25,4.00%,2550324,2550324,Kepler's Galaxy,Barsoom System,2150,20,d,Yes,,,,,
Galaxy 2 Level 18,1,640,10,20,30,50,10,20,30,50,50,10,20,30,40,70,10,20,40,50,80,40,10,20,40,70,90,,295,819,,0.81%,947,1114,115,127,138,1,1.10,1.25,4.00%,1343286,1343286,Kepler's Galaxy,Gul Dukat System,2300,150,b,Yes,,,,,
Galaxy 2 Level 19,3,640,72,48,24,36,48,48,12,24,48,96,60,24,24,36,60,120,36,24,36,48,120,36,60,156,48,,295,1209.6,,35.10%,1279,1505,116,128,139,1,1.10,1.25,4.00%,1602237,1602237,Kepler's Galaxy,Harryhausen System,2400,120,n,Yes,,,,,
Galaxy 2 Level 20,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,10.50%,1414,1663,117,129,140,1,1.10,1.25,4.00%,2629198,2629198,Kepler's Galaxy,Brigg System,2450,-180,e,Yes,,,,,
Galaxy 2 Level 21,0,640,12,24,36,48,12,24,48,24,36,48,12,24,48,48,48,24,12,48,36,48,60,72,24,24,60,,295,810,,-33.55%,939,1105,118,130,142,1,1.10,1.25,4.00%,4624284,4624284,Kepler's Galaxy,Kerensky System,2500,0,f,Yes,,,,,
Galaxy 2 Level 22,1,640,17,34,51,85,17,34,51,85,85,17,34,51,68,119,17,34,68,85,136,68,17,34,68,119,153,,295,1392.3,,52.67%,1434,1687,119,131,143,1,1.10,1.25,4.00%,2945432,2945432,Kepler's Galaxy,Rathbone System,2600,0,k,Yes,,,,,
Galaxy 2 Level 23,3,640,72,48,24,36,48,48,12,24,48,96,60,24,24,36,60,120,36,24,36,48,120,36,60,156,48,,295,1209.6,,-10.79%,1279,1505,120,132,144,1,1.10,1.25,4.00%,2151747,2151747,Kepler's Galaxy,Yavin System,2700,0,b,Yes,,,,,
Galaxy 2 Level 24,2,640,50,120,20,40,50,100,30,10,130,40,60,40,10,40,50,100,20,30,210,30,50,60,130,30,70,,295,1368,,10.50%,1414,1663,121,133,145,1,1.10,1.25,4.00%,1054278,1054278,Kepler's Galaxy,Atreides System,2800,0,o,Yes,,,,,
Galaxy 2 Level 25,0,640,17,34,51,68,17,34,68,34,51,68,17,34,68,68,68,34,17,68,51,68,85,102,34,34,85,,295,1147.5,,-13.23%,1226,1443,122,134,146,1,1.10,1.25,3.90%,4061963,4061963,Kepler's Galaxy,Kubrick System,2900,0,c,Yes,,,,,
Galaxy 2 Level 26,1,640,20,40,60,100,20,40,60,100,100,20,40,60,80,140,20,40,80,100,160,80,20,40,80,140,180,,295,1638,,33.96%,1643,1933,123,135,148,1,1.10,1.25,3.80%,3485231,3485231,Kepler's Galaxy,Barbeau System,3000,0,j,Yes,,,,,
Galaxy 2 Level 27,3,640,120,80,40,60,80,80,20,40,80,160,100,40,40,60,100,200,60,40,60,80,200,60,100,260,80,,295,2016,,19.56%,1964,2311,124,136,149,1,1.10,1.25,3.70%,1738913,1738913,Kepler's Galaxy,Khambatta System,3100,0,i,Yes,,,,,
Galaxy 2 Level 28,2,640,85,204,34,68,85,170,51,17,221,68,102,68,17,68,85,170,34,51,357,51,85,102,221,51,119,,295,2325.6,,13.41%,2228,2621,125,138,150,1,1.10,1.25,3.60%,3767708,3767708,Kepler's Galaxy,Windu System,3200,0,p,Yes,,,,,
Galaxy 2 Level 29,0,640,14,34,51,68,17,34,68,34,51,68,17,34,68,68,68,34,17,68,51,68,85,102,34,34,85,,295,1144.8,,-45.06%,1224,1440,126,139,151,1,1.10,1.25,3.50%,2145765,2145765,Kepler's Galaxy,Cimmeria System,3300,0,h,Yes,,,,,
Galaxy 2 Level 30,1,640,12,34,51,85,17,34,51,85,85,17,34,51,68,119,17,34,68,85,136,68,17,34,68,119,153,,295,1387.8,,16.88%,1430,1683,127,140,152,1,1.10,1.25,3.40%,1803178,1803178,Kepler's Galaxy,Kohnert 3 System,3400,0,d,Yes,,,,,
Galaxy 2 Level 31,3,640,84,68,34,51,68,68,17,34,68,136,85,34,34,51,85,170,51,34,51,68,170,51,85,221,68,,295,1697.4,,18.36%,1694,1992,128,141,154,1,1.10,1.25,3.30%,1308585,1308585,Kepler's Galaxy,Yippeekiyay System,3500,0,f,Yes,,,,,
Galaxy 2 Level 32,2,640,100,204,34,68,85,170,51,17,221,68,102,68,17,68,85,170,34,51,357,51,85,102,221,51,119,,295,2339.1,,32.23%,2239,2634,129,142,155,1,1.10,1.25,3.20%,4761131,4761131,Kepler's Galaxy,Sidious System,3600,0,k,Yes,,,,,
Galaxy 2 Level 33,0,640,14,34,51,68,17,34,68,34,51,68,17,34,68,68,68,34,17,68,51,68,85,102,34,34,85,,295,1144.8,,-45.33%,1224,1440,130,143,156,1,1.10,1.25,3.10%,4568578,4568578,Kepler's Galaxy,Buckland System,3700,0,e,Yes,,,,,
Galaxy 2 Level 34,1,640,20,34,51,85,17,34,51,85,85,17,34,51,68,119,17,34,68,85,136,68,17,34,68,119,153,,295,1395,,17.36%,1437,1690,131,144,157,1,1.10,1.25,3.00%,3657741,3657741,Kepler's Galaxy,Harlock System,3800,0,o,Yes,,,,,
Galaxy 2 Level 35,3,640,144,68,34,51,68,68,17,34,68,136,85,34,34,51,85,170,51,34,51,68,170,51,85,221,68,,295,1751.4,,21.07%,1739,2046,132,145,158,1,1.10,1.25,2.90%,2405929,2405929,Kepler's Galaxy,Mifune System,3900,0,c,Yes,,,,,
Galaxy 2 Level 36,2,640,120,204,34,68,85,170,51,17,221,68,102,68,17,68,85,170,34,51,357,51,85,102,221,51,119,,295,2357.1,,29.62%,2254,2652,133,146,160,1,1.10,1.25,2.80%,1104970,1104970,Kepler's Galaxy,Janeway System,4000,0,h,Yes,,,,,
Galaxy 2 Level 37,0,640,24,34,51,68,17,34,68,34,51,68,17,34,68,68,68,34,17,68,51,68,85,102,34,34,85,,295,1153.8,,-45.36%,1231,1449,134,147,161,1,1.10,1.25,2.70%,4085714,4085714,Kepler's Galaxy,Colitis System,4100,0,f,Yes,,,,,
Galaxy 2 Level 38,1,640,20,34,51,85,17,34,51,85,85,17,34,51,68,119,17,34,68,85,136,68,17,34,68,119,153,,295,1395,,16.63%,1437,1690,135,149,162,1,1.10,1.25,2.60%,3605051,3605051,Kepler's Galaxy,Zyrtek System,4200,0,a,Yes,,,,,
Galaxy 2 Level 39,3,640,120,68,34,51,68,68,17,34,68,136,85,34,34,51,85,170,51,34,51,68,170,51,85,221,68,,295,1729.8,,19.82%,1721,2025,136,150,163,1,1.10,1.25,2.50%,2673091,2673091,Kepler's Galaxy,Brobdingnag System,4300,0,l,Yes,,,,,
Galaxy 2 Level 40,2,640,50,204,34,68,85,170,51,17,221,68,102,68,17,68,85,170,34,51,357,51,85,102,221,51,119,,295,2294.1,,127.85%,2201,2589,137,151,164,1,1.10,1.25,2.40%,4152278,4152278,Kepler's Galaxy, Sheboygan System,4400,0,d,Yes,,,,,